Datum	Tid	Väg	Totalt antal påstigande	lat	lon
11/06/24	11.50	UT	22	57.659177	11.839656
11/06/24	12.50	UT	28	57.659177	11.839656
11/06/24	15.30	UT	101	57.659177	11.839656
11/06/24	16.40	UT	27	57.659177	11.839656
11/06/24	17.37	UT	97	57.659177	11.839656
11/06/24	19.05	UT	43	57.659177	11.839656
11/06/24	05.06	IN	15	57.574184	11.7782755
11/06/24	05.58	IN	47	57.574184	11.7782755
11/06/24	07.21	IN	79	57.574184	11.7782755
11/06/24	08.25	IN	79	57.574184	11.7782755
11/06/24	12.42	IN	35	57.574184	11.7782755
11/06/24	13.47	IN	75	57.574184	11.7782755
11/06/24	16.34	IN	104	57.574184	11.7782755
11/06/24	17.24	IN	31	57.574184	11.7782755
11/06/24	18.57	IN	13	57.574184	11.7782755
11/06/24	20.12	IN	30	57.574184	11.7782755
12/06/24	05.11	UT	1	57.659177	11.839656
12/06/24	06.08	UT	17	57.659177	11.839656
12/06/24	07.54	UT	93	57.659177	11.839656
12/06/24	09.20	UT	63	57.659177	11.839656
12/06/24	11.50	UT	55	57.659177	11.839656
12/06/24	12.50	UT	20	57.659177	11.839656
12/06/24	15.30	UT	75	57.659177	11.839656
12/06/24	16.40	UT	32	57.659177	11.839656
12/06/24	17.37	UT	94	57.659177	11.839656
12/06/24	19.05	UT	14	57.659177	11.839656
12/06/24	05.06	IN	19	57.574184	11.7782755
12/06/24	05.58	IN	52	57.574184	11.7782755
12/06/24	07.21	IN	88	57.574184	11.7782755
12/06/24	08.25	IN	109	57.574184	11.7782755
12/06/24	10.12	IN	61	57.574184	11.7782755
12/06/24	12.42	IN	39	57.574184	11.7782755
12/06/24	13.47	IN	91	57.574184	11.7782755
12/06/24	16.34	IN	96	57.574184	11.7782755
12/06/24	17.24	IN	30	57.574184	11.7782755
12/06/24	18.57	IN	16	57.574184	11.7782755
12/06/24	20.12	IN	24	57.574184	11.7782755
13/06/24	05.11	UT	4	57.659177	11.839656
13/06/24	06.00	UT	0	57.659177	11.839656
13/06/24	07.25	UT	49	57.659177	11.839656
13/06/24	11.50	UT	16	57.659177	11.839656
13/06/24	12.50	UT	15	57.659177	11.839656
13/06/24	15.30	UT	98	57.659177	11.839656
13/06/24	16.40	UT	21	57.659177	11.839656
13/06/24	17.32	UT	71	57.659177	11.839656
13/06/24	19.05	UT	51	57.659177	11.839656
13/06/24	05.06	IN	8	57.574184	11.7782755
13/06/24	05.58	IN	43	57.574184	11.7782755
13/06/24	06.55	IN	61	57.574184	11.7782755
13/06/24	08.25	IN	79	57.574184	11.7782755
13/06/24	12.42	IN	26	57.574184	11.7782755
13/06/24	13.47	IN	55	57.574184	11.7782755
13/06/24	16.34	IN	80	57.574184	11.7782755
13/06/24	17.24	IN	11	57.574184	11.7782755
13/06/24	18.57	IN	34	57.574184	11.7782755
13/06/24	20.12	IN	25	57.574184	11.7782755
14/06/24	05.11	UT	2	57.659177	11.839656
14/06/24	06.08	UT	22	57.659177	11.839656
14/06/24	07.54	UT	69	57.659177	11.839656
14/06/24	09.20	UT	9	57.659177	11.839656
14/06/24	11.50	UT	24	57.659177	11.839656
14/06/24	12.50	UT	12	57.659177	11.839656
14/06/24	15.30	UT	103	57.659177	11.839656
14/06/24	16.40	UT	32	57.659177	11.839656
14/06/24	17.37	UT	100	57.659177	11.839656
14/06/24	19.05	UT	62	57.659177	11.839656
14/06/24	05.08	IN	4	57.574184	11.7782755
14/06/24	05.58	IN	38	57.574184	11.7782755
14/06/24	07.21	IN	50	57.574184	11.7782755
14/06/24	09.15	IN	111	57.574184	11.7782755
14/06/24	10.12	IN	72	57.574184	11.7782755
14/06/24	12.42	IN	25	57.574184	11.7782755
14/06/24	13.47	IN	48	57.574184	11.7782755
14/06/24	16.34	IN	46	57.574184	11.7782755
14/06/24	17.24	IN	18	57.574184	11.7782755
14/06/24	18.57	IN	10	57.574184	11.7782755
14/06/24	20.12	IN	15	57.574184	11.7782755
16/06/24	06.15	UT	9	57.659177	11.839656
16/06/24	08.02	UT	15	57.659177	11.839656
16/06/24	09.25	UT	102	57.659177	11.839656
16/06/24	12.30	UT	146	57.659177	11.839656
16/06/24	06.02	IN	8	57.574184	11.7782755
16/06/24	07.32	IN	27	57.574184	11.7782755
16/06/24	09.12	IN	69	57.574184	11.7782755
16/06/24	10.29	IN	63	57.574184	11.7782755
16/06/24	13.42	IN	130	57.574184	11.7782755
17/06/24	05.11	UT	2	57.659177	11.839656
17/06/24	06.08	UT	38	57.659177	11.839656
17/06/24	07.54	UT	54	57.659177	11.839656
17/06/24	09.20	UT	74	57.659177	11.839656
17/06/24	10.20	UT	10	57.659177	11.839656
17/06/24	11.50	UT	65	57.659177	11.839656
17/06/24	12.50	UT	16	57.659177	11.839656
17/06/24	15.30	UT	107	57.659177	11.839656
17/06/24	16.40	UT	20	57.659177	11.839656
17/06/24	17.37	UT	124	57.659177	11.839656
17/06/24	19.05	UT	60	57.659177	11.839656
17/06/24	05.06	IN	10	57.574184	11.7782755
17/06/24	05.58	IN	48	57.574184	11.7782755
17/06/24	07.21	IN	85	57.574184	11.7782755
17/06/24	09.15	IN	134	57.574184	11.7782755
17/06/24	10.12	IN	63	57.574184	11.7782755
17/06/24	11.02	IN	1	57.574184	11.7782755
17/06/24	12.42	IN	34	57.574184	11.7782755
17/06/24	13.47	IN	28	57.574184	11.7782755
17/06/24	16.34	IN	96	57.574184	11.7782755
17/06/24	17.24	IN	50	57.574184	11.7782755
17/06/24	18.57	IN	31	57.574184	11.7782755
17/06/24	20.12	IN	66	57.574184	11.7782755
18/06/24	05.11	UT	1	57.659177	11.839656
18/06/24	06.00	UT	1	57.659177	11.839656
18/06/24	07.25	UT	50	57.659177	11.839656
18/06/24	11.50	UT	65	57.659177	11.839656
18/06/24	12.50	UT	37	57.659177	11.839656
18/06/24	15.30	UT	81	57.659177	11.839656
18/06/24	16.40	UT	30	57.659177	11.839656
18/06/24	17.37	UT	101	57.659177	11.839656
18/06/24	19.05	UT	48	57.659177	11.839656
18/06/24	05.06	IN	11	57.574184	11.7782755
18/06/24	05.58	IN	42	57.574184	11.7782755
18/06/24	06.55	IN	70	57.574184	11.7782755
18/06/24	08.25	IN	77	57.574184	11.7782755
18/06/24	12.42	IN	28	57.574184	11.7782755
18/06/24	13.47	IN	24	57.574184	11.7782755
18/06/24	16.34	IN	129	57.574184	11.7782755
18/06/24	17.24	IN	62	57.574184	11.7782755
18/06/24	18.57	IN	17	57.574184	11.7782755
18/06/24	20.12	IN	31	57.574184	11.7782755
19/06/24	05.11	UT	2	57.659177	11.839656
19/06/24	06.11	UT	37	57.659177	11.839656
19/06/24	07.54	UT	55	57.659177	11.839656
19/06/24	09.20	UT	39	57.659177	11.839656
19/06/24	11.50	UT	41	57.659177	11.839656
19/06/24	12.50	UT	39	57.659177	11.839656
19/06/24	15.30	UT	77	57.659177	11.839656
19/06/24	16.40	UT	27	57.659177	11.839656
19/06/24	17.37	UT	97	57.659177	11.839656
19/06/24	19.05	UT	70	57.659177	11.839656
19/06/24	5.06	IN	13	57.574184	11.7782755
19/06/24	05.58	IN	47	57.574184	11.7782755
19/06/24	07.21	IN	97	57.574184	11.7782755
19/06/24	19.15	IN	102	57.574184	11.7782755
19/06/24	10.12	IN	70	57.574184	11.7782755
19/06/24	12.42	IN	48	57.574184	11.7782755
19/06/24	13.47	IN	43	57.574184	11.7782755
19/06/24	14.55	IN	26	57.574184	11.7782755
19/06/24	16.34	IN	96	57.574184	11.7782755
19/06/24	17.24	IN	52	57.574184	11.7782755
19/06/24	18.57	IN	26	57.574184	11.7782755
19/06/24	20.12	IN	52	57.574184	11.7782755
20/06/24	05.11	UT	2	57.659177	11.839656
20/06/24	06.00	UT	3	57.659177	11.839656
20/06/24	07.25	UT	49	57.659177	11.839656
20/06/24	10.20	UT	9	57.659177	11.839656
20/06/24	11.50	UT	42	57.659177	11.839656
20/06/24	12.50	UT	20	57.659177	11.839656
20/06/24	14.20	UT	138	57.659177	11.839656
20/06/24	15.30	UT	174	57.659177	11.839656
20/06/24	16.40	UT	87	57.659177	11.839656
20/06/24	17.37	UT	144	57.659177	11.839656
20/06/24	19.05	UT	113	57.659177	11.839656
20/06/24	05.06	IN	8	57.574184	11.7782755
20/06/24	05.58	IN	42	57.574184	11.7782755
20/06/24	06.55	IN	64	57.574184	11.7782755
20/06/24	08.25	IN	65	57.574184	11.7782755
20/06/24	11.02	IN	12	57.574184	11.7782755
20/06/24	12.42	IN	60	57.574184	11.7782755
20/06/24	13.47	IN	53	57.574184	11.7782755
20/06/24	15.27	IN	91	57.574184	11.7782755
20/06/24	16.34	IN	72	57.574184	11.7782755
20/06/24	17.24	IN	25	57.574184	11.7782755
20/06/24	18.57	IN	13	57.574184	11.7782755
20/06/24	20.12	IN	29	57.574184	11.7782755
21/06/24	09.25	UT	167	57.659177	11.839656
21/06/24	10.45	UT	45	57.659177	11.839656
21/06/24	12.10	UT	173	57.659177	11.839656
21/06/24	13.10	UT	165	57.659177	11.839656
21/06/24	14.10	UT	182	57.659177	11.839656
21/06/24	15.40	UT	46	57.659177	11.839656
21/06/24	16.40	UT	18	57.659177	11.839656
21/06/24	10.29	IN	40	57.574184	11.7782755
21/06/24	13.02	IN	5	57.574184	11.7782755
21/06/24	14.02	IN	15	57.574184	11.7782755
21/06/24	15.05	IN	19	57.574184	11.7782755
21/06/24	16.32	IN	44	57.574184	11.7782755
21/06/24	17.37	IN	143	57.574184	11.7782755
22/06/24	06.15	UT	6	57.659177	11.839656
22/06/24	08.02	UT	10	57.659177	11.839656
22/06/24	09.25	UT	24	57.659177	11.839656
22/06/24	12.30	UT	54	57.659177	11.839656
22/06/24	06.02	IN	15	57.574184	11.7782755
22/06/24	07.32	IN	16	57.574184	11.7782755
22/06/24	09.12	IN	34	57.574184	11.7782755
22/06/24	10.29	IN	118	57.574184	11.7782755
22/06/24	13.42	IN	126	57.574184	11.7782755
23/06/24	06.15	UT	11	57.659177	11.839656
23/06/24	08.02	UT	12	57.659177	11.839656
23/06/24	09.25	UT	48	57.659177	11.839656
23/06/24	12.30	UT	160	57.659177	11.839656
23/06/24	06.02	IN	10	57.574184	11.7782755
23/06/24	07.32	IN	37	57.574184	11.7782755
23/06/24	09.12	IN	50	57.574184	11.7782755
23/06/24	10.29	IN	118	57.574184	11.7782755
23/06/24	13.42	IN	124	57.574184	11.7782755
24/06/24	5.11	UT	4	57.659177	11.839656
24/06/24	06.08	UT	34	57.659177	11.839656
24/06/24	07.54	UT	57	57.659177	11.839656
24/06/24	09.20	UT	43	57.659177	11.839656
24/06/24	11.50	UT	37	57.659177	11.839656
24/06/24	12.50	UT	47	57.659177	11.839656
24/06/24	15.30	UT	98	57.659177	11.839656
24/06/24	16.40	UT	23	57.659177	11.839656
24/06/24	17.37	UT	91	57.659177	11.839656
24/06/24	19.05	UT	62	57.659177	11.839656
24/06/24	5.06	IN	20	57.574184	11.7782755
24/06/24	05.58	IN	44	57.574184	11.7782755
24/06/24	07.21	IN	80	57.574184	11.7782755
24/06/24	09.12	IN	100	57.574184	11.7782755
24/06/24	10.12	IN	68	57.574184	11.7782755
24/06/24	12.42	IN	63	57.574184	11.7782755
24/06/24	13.47	IN	42	57.574184	11.7782755
24/06/24	16.34	IN	122	57.574184	11.7782755
24/06/24	17.24	IN	62	57.574184	11.7782755
24/06/24	18.57	IN	58	57.574184	11.7782755
24/06/24	20.12	IN	27	57.574184	11.7782755
25/06/24	05.11	UT	2	57.659177	11.839656
25/06/24	06.00	UT	1	57.659177	11.839656
25/06/24	07.25	UT	30	57.659177	11.839656
25/06/24	11.50	UT	160	57.659177	11.839656
25/06/24	12.50	UT	60	57.659177	11.839656
25/06/24	15.30	UT	143	57.659177	11.839656
25/06/24	16.40	UT	63	57.659177	11.839656
25/06/24	17.37	UT	81	57.659177	11.839656
25/06/24	19.05	UT	55	57.659177	11.839656
25/06/24	05.06	IN	11	57.574184	11.7782755
25/06/24	05.58	IN	40	57.574184	11.7782755
25/06/24	06.55	IN	61	57.574184	11.7782755
25/06/24	08.24	IN	67	57.574184	11.7782755
25/06/24	12.42	IN	62	57.574184	11.7782755
25/06/24	13.47	IN	54	57.574184	11.7782755
25/06/24	16.34	IN	171	57.574184	11.7782755
25/06/24	17.24	IN	134	57.574184	11.7782755
26/06/24	05.11	UT	1	57.659177	11.839656
26/06/24	06.08	UT	35	57.659177	11.839656
26/06/24	07.57	UT	54	57.659177	11.839656
26/06/24	09.20	UT	109	57.659177	11.839656
26/06/24	11.50	UT	163	57.659177	11.839656
26/06/24	12.50	UT	74	57.659177	11.839656
26/06/24	15.30	UT	123	57.659177	11.839656
26/06/24	16.40	UT	42	57.659177	11.839656
26/06/24	17.37	UT	117	57.659177	11.839656
26/06/24	19.05	UT	65	57.659177	11.839656
26/06/24	05.06	IN	12	57.574184	11.7782755
26/06/24	05.58	IN	54	57.574184	11.7782755
26/06/24	07.21	IN	81	57.574184	11.7782755
26/06/24	09.15	IN	112	57.574184	11.7782755
26/06/24	10.12	IN	54	57.574184	11.7782755
26/06/24	12.42	IN	60	57.574184	11.7782755
26/06/24	13.47	IN	84	57.574184	11.7782755
26/06/24	16.34	IN	165	57.574184	11.7782755
26/06/24	17.24	IN	163	57.574184	11.7782755
26/06/24	18.57	IN	58	57.574184	11.7782755
26/06/24	20.12	IN	44	57.574184	11.7782755
28/06/24	05.11	UT	1	57.659177	11.839656
28/06/24	06.08	UT	30	57.659177	11.839656
28/06/24	07.54	UT	40	57.659177	11.839656
28/06/24	09.20	UT	26	57.659177	11.839656
28/06/24	11.50	UT	41	57.659177	11.839656
28/06/24	12.50	UT	17	57.659177	11.839656
28/06/24	15.30	UT	81	57.659177	11.839656
28/06/24	16.40	UT	47	57.659177	11.839656
28/06/24	17.37	UT	138	57.659177	11.839656
28/06/24	19.05	UT	53	57.659177	11.839656
28/06/24	05.06	IN	9	57.574184	11.7782755
28/06/24	05.58	IN	31	57.574184	11.7782755
28/06/24	06.55	IN	74	57.574184	11.7782755
28/06/24	07.21	IN	98	57.574184	11.7782755
28/06/24	09.15	IN	72	57.574184	11.7782755
28/06/24	12.42	IN	75	57.574184	11.7782755
28/06/24	13.47	IN	51	57.574184	11.7782755
28/06/24	16.34	IN	33	57.574184	11.7782755
28/06/24	17.24	IN	33	57.574184	11.7782755
28/06/24	18.57	IN	31	57.574184	11.7782755
28/06/24	20.12	IN	40	57.574184	11.7782755
29/06/24	09.25	UT	125	57.659177	11.839656
29/06/24	12.10	UT	116	57.659177	11.839656
29/06/24	13.10	UT	88	57.659177	11.839656
29/06/24	14.10	UT	95	57.659177	11.839656
29/06/24	15.40	UT	28	57.659177	11.839656
29/06/24	16.40	UT	4	57.659177	11.839656
29/06/24	10.29	IN	85	57.574184	11.7782755
29/06/24	13.02	IN	9	57.574184	11.7782755
29/06/24	14.02	IN	22	57.574184	11.7782755
29/06/24	15.05	IN	57	57.574184	11.7782755
29/06/24	16.32	IN	95	57.574184	11.7782755
29/06/24	17.37	IN	51	57.574184	11.7782755
30/06/24	06.15	UT	9	57.659177	11.839656
30/06/24	08.02	UT	28	57.659177	11.839656
30/06/24	09.25	UT	41	57.659177	11.839656
30/06/24	12.30	UT	56	57.659177	11.839656
30/06/24	05.02	IN	9	57.574184	11.7782755
30/06/24	07.32	IN	40	57.574184	11.7782755
30/06/24	09.12	IN	44	57.574184	11.7782755
30/06/24	10.29	IN	80	57.574184	11.7782755
30/06/24	13.42	IN	97	57.574184	11.7782755
02/07/24	05.11	UT	3	57.659177	11.839656
02/07/24	06.00	UT	0	57.659177	11.839656
02/07/24	07.25	UT	45	57.659177	11.839656
02/07/24	11.50	UT	59	57.659177	11.839656
02/07/24	12.50	UT	32	57.659177	11.839656
02/07/24	15.30	UT	87	57.659177	11.839656
02/07/24	16.40	UT	31	57.659177	11.839656
02/07/24	17.37	UT	84	57.659177	11.839656
02/07/24	19.05	UT	41	57.659177	11.839656
02/07/24	05.06	IN	7	57.574184	11.7782755
02/07/24	05.58	IN	49	57.574184	11.7782755
02/07/24	06.55	IN	51	57.574184	11.7782755
02/07/24	08.25	IN	82	57.574184	11.7782755
02/07/24	12.42	IN	45	57.574184	11.7782755
02/07/24	13.47	IN	31	57.574184	11.7782755
02/07/24	16.34	IN	123	57.574184	11.7782755
02/07/24	17.22	IN	31	57.574184	11.7782755
02/07/24	18.57	IN	27	57.574184	11.7782755
02/07/24	20.12	IN	21	57.574184	11.7782755
03/07/24	05.11	UT	3	57.659177	11.839656
03/07/24	06.08	UT	31	57.659177	11.839656
03/07/24	07.54	UT	46	57.659177	11.839656
03/07/24	09.20	UT	52	57.659177	11.839656
03/07/24	11.50	UT	85	57.659177	11.839656
